"Libellé";"Transports de passagers - Air France - Vols intérieurs";"Codes"
"idBank";"000439842";""
"Période";"";""
"2018-02";"0.482";"A"
"2018-01";"0.544";"A"
"2017-12";"0.59";"A"
"2017-11";"0.585";"A"
"2017-10";"0.662";"A"
"2017-09";"0.647";"A"
"2017-08";"0.652";"A"
"2017-07";"0.753";"A"
"2017-06";"0.718";"A"
"2017-05";"0.66";"A"
"2017-04";"0.635";"A"
"2017-03";"0.611";"A"
"2017-02";"0.526";"A"
"2017-01";"0.558";"A"
"2016-12";"0.629";"A"
"2016-11";"0.605";"A"
"2016-10";"0.675";"A"
"2016-09";"0.648";"A"
"2016-08";"0.65";"A"
"2016-07";"0.733";"A"
"2016-06";"0.701";"A"
"2016-05";"0.685";"A"
"2016-04";"0.649";"A"
"2016-03";"0.618";"A"
"2016-02";"0.554";"A"
"2016-01";"0.544";"A"
"2015-12";"0.61";"A"
"2015-11";"0.577";"A"
"2015-10";"0.73";"A"
"2015-09";"0.715";"A"
"2015-08";"0.717";"A"
"2015-07";"0.784";"A"
"2015-06";"0.776";"A"
"2015-05";"0.727";"A"
"2015-04";"0.672";"A"
"2015-03";"0.674";"A"
"2015-02";"0.582";"A"
"2015-01";"0.594";"A"
"2014-12";"0.701";"A"
"2014-11";"0.658";"A"
"2014-10";"0.745";"A"
"2014-09";"0.488";"A"
"2014-08";"0.729";"A"
"2014-07";"0.815";"A"
"2014-06";"0.821";"A"
"2014-05";"0.703";"A"
"2014-04";"0.706";"A"
"2014-03";"0.706";"A"
"2014-02";"0.594";"A"
"2014-01";"0.583";"A"
"2013-12";"0.719";"A"
"2013-11";"0.694";"A"
"2013-10";"0.785";"A"
"2013-09";"0.784";"A"
"2013-08";"0.77";"A"
"2013-07";"0.871";"A"
"2013-06";"0.831";"A"
"2013-05";"0.796";"A"
"2013-04";"0.761";"A"
"2013-03";"0.676";"A"
"2013-02";"0.571";"A"
"2013-01";"0.566";"A"
"2012-12";"0.657";"A"
"2012-11";"0.664";"A"
"2012-10";"0.721";"A"
"2012-09";"0.746";"A"
"2012-08";"0.738";"A"
"2012-07";"0.858";"A"
"2012-06";"0.802";"A"
"2012-05";"0.736";"A"
"2012-04";"0.702";"A"
"2012-03";"0.679";"A"
"2012-02";"0.546";"A"
"2012-01";"0.608";"A"
"2011-12";"0.687";"A"
"2011-11";"0.644";"A"
"2011-10";"0.731";"A"
"2011-09";"0.726";"A"
"2011-08";"0.687";"A"
